,counts,nino34_djf,nao_djfm,mdr_aso,sahel_jjas,nino12_djf,nino3_djf,relative_aso,tropic_aso,nao_mj,amm_jjasom
1870,,-0.54,0.00275,-0.2337391,,-0.85,-0.573333333,0.2394691,-0.4732082,1.053,
1871,,-0.64,0.05475,-0.8712475,,-1.156666667,-0.71,-0.3960308,-0.4752167,-1.9325,
1872,,-0.89,0.2485,-1.262471,,-1.003333333,-1.046666667,-0.743195,-0.5192764,-0.164,
1873,,-0.896666667,1.7775,-0.5013134,,-1.156666667,-1.276666667,-0.02198446,-0.4793289,-0.0725,
1874,,-0.74,-0.53575,-0.4444344,,-0.676666667,-0.793333333,0.1616589,-0.6060932,-1.3055,
1875,,-0.966666667,0.4075,-0.5761806,,-1.68,-1.24,-0.1362804,-0.4399002,1.1745,
1876,,0.346666667,0.69325,-0.1625015,,0.136666667,0.24,0.3551594,-0.5176609,0.1265,
1877,,2.443333333,1.3835,0.04182319,,2.24,2.54,-0.2203125,0.2621357,-1.025,
1878,15.37,-0.493333333,-0.81125,0.6638134,,-0.373333333,-0.54,0.7828366,-0.1190231,-0.632,
1879,11.308,-0.916666667,0.744,0.1522072,,-0.133333333,-0.873333333,0.591066,-0.4388588,0.068,
1880,14.084,0.233333333,-1.3005,-0.4377815,,-0.103333333,0.04,0.0671936,-0.5049751,-0.666,
1881,10.234,-0.456666667,3.16025,-0.1250393,,-0.673333333,-0.613333333,0.286079,-0.4111183,0.414,
1882,9.183,-0.566666667,0.29575,-0.4247334,,-1.133333333,-0.766666667,0.081678,-0.5064114,-0.659,
1883,7.334,-0.086666667,1.4745,-0.8006393,,-0.256666667,-0.3,-0.1606392,-0.6400002,-1.141,
1884,7.072,0.246666667,0.0415,-0.637109,,0.303333333,0.31,-0.08621824,-0.5508907,0.165,
1885,11.237,0.363333333,-0.31375,-0.3789971,,-0.81,-0.143333333,0.0681282,-0.4471253,0.9575,
1886,14.815,-1.046666667,0.8005,-0.4115441,,-0.926666667,-1.213333333,0.2869717,-0.6985157,-0.918,
1887,21.521,0.32,-1.29125,-0.3952191,,0.033333333,0.12,0.1538559,-0.5490749,0.2475,
1888,11.201,1.706666667,0.4535,-0.4276249,,1.41,1.696666667,-0.1863865,-0.2412384,-0.3665,
1889,10.729,-1.95,1.4395,-0.5908749,,-0.306666667,-1.583333333,-0.07058179,-0.5202931,0.75,
1890,5.871,-0.46,-0.209,-1.255592,,-0.42,-0.443333333,-0.4516644,-0.8039272,0.044,
1891,12.202,-0.276666667,-0.416,-0.297395,,-0.316666667,-0.336666667,0.1582256,-0.4556206,-2.758,
1892,11.101,-1.19,-0.04,-0.8521034,,-1.27,-1.476666667,-0.1670841,-0.6850193,-0.5195,
1893,14.041,-1.073333333,2.082,-0.467067,,-0.336666667,-0.906666667,0.2279907,-0.6950577,-0.0965,
1894,9.309,-0.566666667,-1.51975,-1.05787,,-0.55,-0.65,-0.3964218,-0.6614483,0.6995,
1895,8.074,0.243333333,0.879,-0.5883304,,0.433333333,0.366666667,-0.259642,-0.3286884,0.1575,
1896,8.929,1.393333333,1.281,-0.2029049,,1.173333333,1.37,-0.022324,-0.1805809,-0.579,
1897,7.829,-0.493333333,0.72225,-0.4030811,,-0.53,-0.503333333,-0.126471,-0.2766102,-0.972,
1898,12.559,-0.746666667,0.53725,-0.7454903,,-0.003333333,-0.64,-0.05732381,-0.6881664,-0.687,
1899,10.902,1.403333333,-1.242,-0.4791939,,1.026666667,1.346666667,-0.07634965,-0.4028443,-0.6425,
1900,9.133,0.57,0.24975,-0.4931614,,-0.303333333,0.263333333,-0.2499336,-0.2432278,-0.899,
1901,14.246,-0.37,-0.21825,-0.298198,3.71,0.476666667,-0.086666667,0.2649055,-0.5631035,-0.2525,
1902,6.888,1.216666667,2.86675,-0.7677528,0.12,-0.11,0.926666667,-0.2956508,-0.472102,-1.355,
1903,11.933,-0.846666667,0.41325,-0.6770164,2.0825,-0.43,-0.796666667,0.1304032,-0.8074196,-1.3325,
1904,6.554,0.753333333,1.75075,-1.15537,0.985,0.06,0.63,-0.3761315,-0.7792385,0.4395,
1905,6.177,0.91,1.373,-0.9192726,2.5625,0.046666667,0.796666667,-0.4386104,-0.4806622,-1.5035,
1906,12.237,-0.496666667,1.31225,-0.648925,5.555,-0.326666667,-0.633333333,0.01644099,-0.665366,-1.7115,
1907,6.058,-0.096666667,1.13425,-0.870702,0.04,-0.493333333,-0.136666667,-0.2312568,-0.6394451,-0.329,
1908,11.035,-0.773333333,0.1655,-1.023467,2.31,-0.66,-0.793333333,-0.1334423,-0.890025,1.3745,
1909,12.067,-0.883333333,1.62125,-0.8860103,3.345,-1.103333333,-0.883333333,0.05956995,-0.9455803,-1.138,
1910,5.921,-0.596666667,0.34375,-0.9916813,1.035,-0.853333333,-0.656666667,-0.1105999,-0.8810814,-1.289,
1911,6.935,1.113333333,1.03975,-1.108094,0.0975,1.05,1.306666667,-0.3073716,-0.8007229,0.6065,
1912,7.869,-0.17,2.188,-0.986293,0.0725,-0.06,-0.096666667,-0.3146423,-0.6716507,0.3585,
1913,6.578,0.783333333,1.49525,-1.112373,-1.655,0.693333333,0.81,-0.4534611,-0.6589115,0.702,
1914,2.181,0.736666667,0.5575,-0.8299667,0.5025,0.773333333,0.67,-0.369469,-0.4604977,1.38,
1915,5.979,-0.32,0.34025,-0.1388676,0.87,-0.963333333,-0.683333333,0.3452507,-0.4841183,-2.3835,
1916,15.423,-1.466666667,-1.6705,-0.9299766,2.465,-1.093333333,-1.65,-0.03657758,-0.8933991,-1.8755,
1917,5.11,-0.793333333,0.24025,-1.20156,1.8675,-0.896666667,-1.006666667,-0.3980164,-0.8035439,-0.3925,
1918,7.626,1.38,0.395,-0.6888439,3.4125,1.003333333,1.3,-0.1507705,-0.5380734,0.7705,
1919,4.459,0.526666667,2.54325,-0.6735203,0.85,0.536666667,0.513333333,0.08378184,-0.7573021,1.604,
1920,4.994,-0.033333333,1.373,-0.982814,3.1,-0.4,0.036666667,-0.3766025,-0.6062115,-0.4265,
1921,6.799,-0.37,1.39175,-0.9391415,0.885,-0.37,-0.53,-0.4617981,-0.4773434,-1.1235,
1922,4.778,-0.566666667,1.49525,-1.041562,2.1875,-0.45,-0.65,-0.2654671,-0.7760952,1.574,
